1	1e-08
2	1e-04
3	1e-04
4	0.01
5	1
6	4.8
7	6.9
8	10
9	10
10	11.5
11	18.6
12	40
13	100
14	215.2
15	280
16	1500
17	2287
18	2554.85
19	3259.5
20	5104.9
21	13012.1
22	13127
23	22994.5
24	26127.38
25	68000
26	82000
27	82040.3
28	136000
29	909000
